fullVisitorId,channelGrouping,weekend_prop,hour,sessionId,device.browser,device.deviceCategory,device.isMobile,device.operatingSystem,totals.hits,totals.pageviews,bounce_prop,trafficSource.medium
12561433643490500,Paid Search,0,3,3,Chrome,desktop,0,Chrome OS,37,30,0,cpc
13296981549010400,Organic Search,0,1,1,Chrome,desktop,0,Windows,26,21,0,organic
13937734216012000,Referral,0,13,4,Chrome,desktop,0,Macintosh,24,18.5,0,referral
14253006455543600,Organic Search,0.5,20.5,2,Chrome,desktop,0,Windows,11.5,11,0,organic
14262055593378300,Referral,0.125,12,8,Chrome,desktop,0,Macintosh,10.5,9.5,0.25,referral
15618322761092300,Referral,1,2,1,Chrome,desktop,0,Windows,92,64,0,referral
15950283479889700,Organic Search,0.25,12,4,Chrome,mobile,1,Android,7.5,6,0.5,organic
16474246784013900,Social,0,19,1,Chrome,desktop,0,Macintosh,16,15,0,referral
16600374334482600,Referral,0,21,3,Chrome,desktop,0,Macintosh,39,26,0,referral
16925875208939500,Referral,0,14,6,Chrome,desktop,0,Macintosh,8.5,7,0.166666667,referral
18248151443924700,Organic Search,1,12,1,Chrome,desktop,0,Macintosh,26,22,0,organic
18386080117189500,Organic Search,0,2,2,Safari,mobile,1,iOS,12,10.5,0,organic
18400544049332100,Organic Search,0,5,1,Chrome,desktop,0,Macintosh,25,23,0,organic
19772767330770500,Organic Search,0,21,2,Chrome,desktop,0,Macintosh,33.5,25.5,0,organic
19814677684676000,Referral,0,10.5,8,Chrome,desktop,0,Macintosh,6,4.5,0.25,referral
20153652546549700,Referral,0,14,3,Chrome,desktop,0,Macintosh,35,25,0,referral
20342483972052400,Referral,0.5,7,2,Chrome,desktop,0,Macintosh,74.5,55.5,0,referral
20502892485275000,Referral,0.666666667,16,3,Chrome,desktop,0,Macintosh,10,8,0.333333333,referral
20712449954637100,Referral,0,9.5,2,Chrome,desktop,0,Macintosh,35,24,0,referral
20772809165725500,Direct,0,4,3,Chrome,desktop,0,Macintosh,6,6,0,(none)
20941213751022400,Organic Search,1,19,3,Internet Explorer,desktop,0,Windows,13,11,0.333333333,organic
21724590578150300,Organic Search,0,18,1,Chrome,desktop,0,Macintosh,27,21,0,organic
21939395292136500,Paid Search,0,2,1,Chrome,desktop,0,Macintosh,107,82,0,cpc
22078954710203700,Referral,0,19,1,Chrome,desktop,0,Macintosh,82,64,0,referral
24164219255036000,Organic Search,0.166666667,21.5,6,Chrome,desktop,0,Windows,17,13.5,0,organic
24304007537579800,Referral,0,11.5,2,Chrome,desktop,0,Macintosh,20,17.5,0,referral
24314485741511600,Referral,0.5,14,4,Chrome,desktop,0,Macintosh,11,8.5,0,referral
24507252193437400,Direct,0,13,3,Chrome,desktop,0,Macintosh,23,16,0,(none)
24725579067754000,Referral,0,17,1,Chrome,desktop,0,Chrome OS,71,56,0,referral
24932550342595400,Paid Search,0.5,15.5,2,Chrome,desktop,0,Windows,26.5,21.5,0,cpc
25383618704224200,Organic Search,0,19,2,Chrome,desktop,0,Windows,14,10.5,0,organic
25733439009029900,Organic Search,0,13.5,2,Chrome,desktop,0,Macintosh,9.5,8.5,0,organic
26203741366904200,Organic Search,0,17,5,Chrome,desktop,0,Macintosh,16,10,0,organic
26286046518884800,Social,0,15,3,Safari,desktop,0,Macintosh,1,1,0.666666667,referral
26329820781202500,Referral,0,20,2,Chrome,desktop,0,Chrome OS,20,15,0,referral
26401348536755800,Referral,0,12,9,Chrome,desktop,0,Macintosh,6,4,0,referral
27729301290398600,Direct,0,4,2,Chrome,desktop,0,Macintosh,16.5,13,0.5,(none)
27819532062608300,Organic Search,0,16,5,Chrome,desktop,0,Windows,19,15,0.2,organic
28714765282885700,Referral,0,19,7,Chrome,desktop,0,Macintosh,6,6,0,referral
28920166996312400,Referral,0.083333333,18,12,Chrome,desktop,0,Macintosh,1,1,0.75,referral
28984301129433900,Organic Search,0,18,1,Chrome,desktop,0,Linux,15,12,0,organic
29131400687020400,Referral,0,17.5,4,Chrome,desktop,0,Macintosh,16,12,0.25,referral
29534875378731700,Direct,0.5,14,2,Chrome,desktop,0,Macintosh,72,46.5,0,(none)
29617802319560200,Social,0,20,1,Chrome,desktop,0,Windows,54,40,0,referral
30596413607230000,Direct,0.111111111,18,9,Chrome,desktop,0,Macintosh,4,4,0.111111111,(none)
30600107416389100,Referral,0,8,2,Chrome,desktop,0,Linux,11,9.5,0,referral
31037404193448700,Organic Search,0,20,3,Chrome,desktop,0,Macintosh,29,19,0,organic
31607904142435800,Referral,0,18,4,Chrome,desktop,0,Windows,14,13,0,referral
31812050678769200,Direct,0,19,1,Safari,mobile,1,iOS,19,15,0,(none)
32080452871669000,Direct,0,22,2,Chrome,desktop,0,Macintosh,26.5,21,0,(none)
32285388804234500,Direct,0,15,1,Chrome,desktop,0,Windows,28,26,0,(none)
32288790526152700,Direct,0,16,1,Chrome,desktop,0,Chrome OS,9,8,0,(none)
32417370717978300,Referral,0,14,3,Chrome,desktop,0,Windows,21,19,0,referral
32604353961096700,Organic Search,0,18.5,2,Internet Explorer,desktop,0,Windows,17,14.5,0,organic
32658239211545900,Direct,0,9,2,Chrome,mobile,1,Android,10,10,0.5,(none)
32664267931257500,Organic Search,0,15.5,4,Firefox,desktop,0,Windows,7.5,6,0,organic
32685444859747900,Direct,0,18,3,Chrome,desktop,0,Chrome OS,9,9,0,(none)
33024620802809600,Referral,0,5,5,Chrome,desktop,0,Macintosh,36,20,0,referral
34988778973749200,Organic Search,0,18,7,Chrome,desktop,0,Macintosh,5,5,0,organic
35322769016923800,Referral,0,20,1,Chrome,desktop,0,Windows,116,90,0,referral
35660671109530800,Referral,0.5,10.5,2,Chrome,desktop,0,Macintosh,21,15,0,referral
36131108463384200,Organic Search,0,18,1,Chrome,desktop,0,Linux,23,18,0,organic
36194035121102400,Direct,0,19.5,2,Chrome,desktop,0,Windows,10.5,9.5,0.5,(none)
36266427154622600,Referral,0,17,1,Chrome,desktop,0,Macintosh,28,23,0,referral
36417634769000100,Organic Search,0,16,4,Chrome,desktop,0,Macintosh,22,18,0,organic
36419370338727900,Referral,0,23,1,Chrome,desktop,0,Macintosh,41,34,0,referral
36515130282846900,Organic Search,0,17.5,2,Firefox,desktop,0,Windows,35.5,31.5,0.5,organic
36617629525523000,Referral,1,23,3,Chrome,desktop,0,Macintosh,12,12,0,referral
36703532725992700,Referral,0.25,2,4,Chrome,desktop,0,Macintosh,11.5,8,0,referral
36810350983196500,Referral,0.166666667,16,6,Chrome,desktop,0,Macintosh,9,7.5,0,referral
37220895437756000,Referral,0,15.5,4,Chrome,desktop,0,Macintosh,9,8.5,0.25,referral
37518757923116500,Referral,0.333333333,15,3,Chrome,desktop,0,Chrome OS,14,9,0,referral
37806222406366900,Organic Search,0,19,1,Chrome,desktop,0,Windows,23,21,0,organic
38111265827681200,Direct,0,20,2,Chrome,desktop,0,Windows,42,32,0,(none)
38208004954801700,Organic Search,1,0,1,Chrome,desktop,0,Macintosh,15,12,0,organic
38212114833888700,Paid Search,0,8.5,2,Chrome,desktop,0,Macintosh,8.5,8,0,cpc
39194810552478800,Direct,0.5,16,2,Chrome,desktop,0,Macintosh,11,10.5,0,(none)
39355803762628000,Referral,1,6.5,2,Chrome,desktop,0,Macintosh,20.5,17,0,referral
39400440658825900,Referral,0.25,18.5,4,Chrome,desktop,0,Macintosh,7,6,0.25,referral
39541267107154200,Organic Search,0.333333333,22,3,Chrome,desktop,0,Chrome OS,29,22,0,organic
39844092206555500,Direct,0,19,2,Chrome,desktop,0,Windows,20.5,16,0,(none)
40332680018799600,Referral,0,14,1,Chrome,desktop,0,Chrome OS,88,65,0,referral
40361081244991400,Direct,0,17,5,Chrome,desktop,0,Macintosh,14,14,0.2,(none)
41938820295489300,Paid Search,0,15,7,Chrome,desktop,0,Macintosh,5,5,0,cpc
41955139058139100,Referral,0.666666667,17,9,Chrome,desktop,0,Macintosh,8,8,0,referral
42057117403474100,Referral,0,19,1,Chrome,desktop,0,Linux,21,17,0,referral
42122995088591600,Paid Search,0,6,1,Chrome,desktop,0,Macintosh,38,30,0,cpc
42147785799333500,Referral,0,0,1,Chrome,desktop,0,Macintosh,57,34,0,referral
42744959300558900,Referral,0,18.5,6,Chrome,desktop,0,Macintosh,15.5,12.5,0,referral
42872006688710000,Direct,0,16,1,Chrome,desktop,0,Windows,25,20,0,(none)
43584487743669300,Referral,0,20.5,4,Chrome,desktop,0,Macintosh,28,18.5,0,referral
43770390702768700,Direct,0,16,2,Chrome,desktop,0,Macintosh,17.5,14,0,(none)
43984908262145200,Referral,0,15.5,2,Chrome,desktop,0,Linux,9,7.5,0,referral
44206379216818400,Referral,0,21,1,Chrome,desktop,0,Linux,49,41,0,referral
44860406295705900,Referral,0.333333333,3,3,Chrome,desktop,0,Macintosh,16,14,0,referral
44869357011346800,Organic Search,1,15,1,Chrome,desktop,0,Macintosh,33,29,0,organic
45204488424585900,Direct,0,18,2,Chrome,desktop,0,Windows,5.5,4.5,0.5,(none)
45411762601202000,Organic Search,0,21,2,Firefox,desktop,0,Windows,13.5,11.5,0.5,organic
45695832453548300,Referral,0,8.5,4,Chrome,desktop,0,Macintosh,17,13,0,referral
47078955120420900,Referral,0,22,1,Chrome,desktop,0,Macintosh,28,21,0,referral
47096740790346800,Organic Search,0.5,19,2,Chrome,desktop,0,Windows,45,35,0,organic
47471876951764200,Paid Search,0,17,1,Chrome,desktop,0,Macintosh,18,16,0,cpc
47507722101025800,Organic Search,0,0,1,Chrome,desktop,0,Windows,24,20,0,organic
47509547902079800,Direct,0,19,4,Chrome,desktop,0,Macintosh,25.5,21,0,(none)
47511660497565200,Paid Search,0,0,1,Opera,desktop,0,Windows,123,93,0,cpc
47868538532140200,Direct,0,9,9,Chrome,desktop,0,Windows,6,6,0,(none)
48002411086393200,Referral,1,17,1,Chrome,desktop,0,Macintosh,28,21,0,referral
48315652365779500,Referral,0.5,2,4,Chrome,desktop,0,Macintosh,14.5,12,0,referral
49618887282998800,Organic Search,1,3,1,Safari,mobile,1,iOS,45,34,0,organic
49628940161747900,Direct,0,4,3,Chrome,mobile,1,iOS,1,1,0.666666667,(none)
49832664882617700,Referral,1,3,2,Chrome,desktop,0,Macintosh,14.5,13,0,referral
51204193313789400,Direct,0,14,1,Chrome,desktop,0,Macintosh,31,23,0,(none)
51257374560700300,Referral,0,17,8,Chrome,desktop,0,Linux,3.5,3.5,0,referral
51312971389642200,Referral,0,20,1,Chrome,desktop,0,Macintosh,24,21,0,referral
51516119104547200,Organic Search,0,22,1,Chrome,desktop,0,Chrome OS,16,14,0,organic
52757360225662100,Organic Search,0,20,3,Chrome,desktop,0,Windows,6,6,0.333333333,organic
52868681653220000,Direct,0,12,1,Safari,mobile,1,iOS,46,42,0,(none)
52947395050573200,Organic Search,0,14.5,6,Chrome,desktop,0,Macintosh,10,10,0,organic
53010816158486600,Referral,0,16,3,Chrome,desktop,0,Macintosh,9,5,0.333333333,referral
53077699040878800,Organic Search,0,13,1,Internet Explorer,desktop,0,Windows,13,11,0,organic
53534274976399100,Referral,0,19,2,Chrome,desktop,0,Linux,30,23.5,0,referral
53544367470918700,Display,0,19,4,Chrome,desktop,0,Macintosh,9.5,8.5,0,cpm
53866968780969600,Organic Search,0,18,1,Chrome,desktop,0,Windows,39,30,0,organic
54279989591037000,Referral,0.333333333,19,3,Chrome,desktop,0,Macintosh,11,11,0.333333333,referral
54330779667294100,Direct,0,11,2,Chrome,desktop,0,Windows,14.5,11.5,0.5,(none)
54391506396728000,Referral,0,17,3,Chrome,desktop,0,Macintosh,10,9,0,referral
54635571205456400,Organic Search,1,22,1,Chrome,desktop,0,Macintosh,45,36,0,organic
54873055567921600,Direct,0,17,3,Chrome,desktop,0,Macintosh,16,11,0.333333333,(none)
55230885834366100,Organic Search,1,23,1,Chrome,desktop,0,Macintosh,49,35,0,organic
55571790399340200,Organic Search,0,14.5,4,Chrome,desktop,0,Windows,40.5,29,0,organic
55817731640677400,Organic Search,0,17,1,Chrome,desktop,0,Windows,63,52,0,organic
56623046680377600,Organic Search,0.5,22.5,2,Chrome,desktop,0,Windows,8.5,8,0,organic
56746998029721000,Organic Search,0,20,7,Chrome,desktop,0,Macintosh,3,2,0.428571429,organic
57074893306125400,Referral,0,21.5,2,Chrome,desktop,0,Macintosh,23.5,18.5,0,referral
57216119262557200,Referral,0,15,2,Chrome,desktop,0,Macintosh,28.5,23.5,0,referral
57601461431341500,Direct,0,18,6,Chrome,desktop,0,Macintosh,6.5,5.5,0,(none)
57601503302114400,Referral,0,17,1,Chrome,desktop,0,Macintosh,60,46,0,referral
57693500927581000,Referral,0.75,18,4,Chrome,desktop,0,Macintosh,55.5,39.5,0.25,referral
57826677844639300,Organic Search,0.333333333,15,3,Chrome,desktop,0,Macintosh,13,10,0.333333333,organic
58062449645143600,Referral,0,20.5,2,Chrome,desktop,0,Windows,19.5,15,0,referral
59545191328861600,Organic Search,0,12.5,4,Chrome,desktop,0,Windows,10,10,0.25,organic
60208176042336500,Direct,0,3,2,Edge,desktop,0,Windows,18,17,0.5,(none)
60402135554655300,Direct,0.375,15.5,8,Chrome,desktop,0,Chrome OS,22.5,19,0.375,(none)
60552898118020600,Referral,0.333333333,18,6,Chrome,desktop,0,Windows,4.5,4,0,referral
60637300837021900,Organic Search,0,11,1,Chrome,mobile,1,Android,31,29,0,organic
60707564057653500,Organic Search,0,23,1,Chrome,desktop,0,Windows,25,18,0,organic
60709694942461400,Referral,0.666666667,16,3,Chrome,desktop,0,Macintosh,4,4,0.333333333,referral
60802643524541200,Organic Search,0.5,4,4,Safari,mobile,1,iOS,3,2,0.5,organic
60873674881142700,Referral,0,20.5,6,Chrome,desktop,0,Macintosh,4.5,4.5,0.333333333,referral
61519776091452500,Organic Search,0.333333333,14,3,Chrome,desktop,0,Windows,30,24,0,organic
61548717459564200,Referral,0.666666667,20,3,Chrome,desktop,0,Chrome OS,4,4,0,referral
61892085087294500,Organic Search,0.5,16.5,6,Chrome,desktop,0,Macintosh,5.5,4,0.333333333,organic
62301548425288700,Direct,0,15,3,Chrome,desktop,0,Windows,61,46,0,(none)
62337808774510300,Display,0,18,7,Safari,desktop,0,Macintosh,7,6,0.142857143,cpm
62398744583501000,Referral,0,14,1,Chrome,desktop,0,Windows,83,57,0,referral
62722204677243800,Referral,0,3,3,Chrome,desktop,0,Macintosh,12,9,0,referral
63411837669447300,Social,0,19,1,Chrome,desktop,0,Chrome OS,23,17,0,referral
63706256894298500,Referral,0.5,18.5,2,Chrome,desktop,0,Linux,27,12,0,referral
63736161805998600,Organic Search,0,4,5,Chrome,desktop,0,Windows,5,5,0,organic
64739735733627900,Organic Search,0.333333333,17.5,6,Safari,desktop,0,Macintosh,2.5,2,0.5,organic
65245131914018300,Referral,0,17,1,Chrome,desktop,0,Macintosh,43,34,0,referral
66547844041573500,Display,0.153846154,11,13,Chrome,desktop,0,Windows,2,2,0.307692308,cpm
67046950690742000,Paid Search,0,15,3,Chrome,desktop,0,Macintosh,19,19,0,cpc
67144867645757000,Organic Search,0,1,1,Safari,mobile,1,iOS,59,50,0,organic
67427211374180000,Organic Search,0,3.5,2,Chrome,desktop,0,Macintosh,27,20,0,organic
67475292701707900,Referral,0,10.5,4,Chrome,desktop,0,Macintosh,13.5,11,0,referral
67516997967648800,Referral,0,16.5,4,Chrome,desktop,0,Macintosh,30,22,0,referral
67566216922331800,Referral,0,19.5,2,Chrome,desktop,0,Macintosh,9,7.5,0,referral
67586620214837400,Paid Search,0,19.5,2,Firefox,desktop,0,Macintosh,16,14.5,0,cpc
68301324269312200,Organic Search,0,21,3,Chrome,desktop,0,Linux,3,3,0,organic
68337214858488100,Referral,0,16,3,Chrome,desktop,0,Macintosh,29,25,0.333333333,referral
68437640696494100,Organic Search,0,17,3,Chrome,desktop,0,Macintosh,15,15,0.333333333,organic
68546456225736300,Paid Search,0.75,18.5,4,Chrome,desktop,0,Macintosh,15.5,12,0,cpc
68590151265795400,Direct,0,20,3,Chrome,desktop,0,Macintosh,10,10,0,(none)
68932429089394700,Organic Search,0,18,3,Chrome,desktop,0,Macintosh,27,18,0,organic
69147671341681000,Referral,0,7.5,2,Chrome,desktop,0,Macintosh,24.5,18,0.5,referral
69563023975860000,Organic Search,0,11,4,Chrome,desktop,0,Macintosh,8.5,7.5,0,organic
69780920436052600,Direct,0,18,7,Chrome,desktop,0,Macintosh,6,4,0.285714286,(none)
69932627935135300,Referral,0,16.5,2,Chrome,desktop,0,Macintosh,20.5,15,0.5,referral
69975515256019300,Referral,0,20,2,Chrome,desktop,0,Macintosh,39.5,27,0,referral
70622933908011400,Referral,0,21,2,Chrome,desktop,0,Macintosh,14,12,0,referral
70749496194697200,Referral,0,16,2,Chrome,desktop,0,Macintosh,14.5,12.5,0,referral
70893140406305800,Referral,0,17,1,Chrome,desktop,0,Macintosh,76,33,0,referral
70976956518566600,Referral,0,18,5,Chrome,desktop,0,Chrome OS,5,5,0.2,referral
71298010648822300,Direct,0.090909091,16,11,Chrome,desktop,0,Windows,16,12,0.090909091,(none)
71731629789524100,Organic Search,0,21,1,Safari,desktop,0,Macintosh,25,18,0,organic
71915269577377500,Organic Search,0,16,3,Chrome,desktop,0,Macintosh,26,19,0,organic
72256802357894300,Referral,0,10,2,Chrome,desktop,0,Chrome OS,9,9,0,referral
72595322994470600,Referral,0,19.5,6,Chrome,desktop,0,Macintosh,10.5,8.5,0.166666667,referral
72816889761746000,Organic Search,0,4,2,Chrome,tablet,1,iOS,48,20,0.5,organic
72871379479619500,Organic Search,0,16,5,Chrome,desktop,0,Chrome OS,4,4,0.2,organic
72871522029318200,Direct,0,6,3,Chrome,desktop,0,Macintosh,12,12,0,(none)
72965257504694200,Referral,0,15,5,Chrome,desktop,0,Linux,1,1,0.6,referral
74075706296764800,Display,0,17,4,Chrome,desktop,0,Macintosh,13,9.5,0,cpm
74650632244292600,Organic Search,0,17,4,Chrome,desktop,0,Macintosh,10.5,8,0,organic
74766195217803900,Organic Search,0,14,1,Chrome,desktop,0,Macintosh,66,45,0,organic
75015293465008300,Paid Search,0,2,1,Chrome,desktop,0,Chrome OS,24,22,0,cpc
75154193118539900,Organic Search,0,15,1,Chrome,desktop,0,Macintosh,23,19,0,organic
75338234785752200,Display,0,14,1,Chrome,desktop,0,Macintosh,44,36,0,cpm
75449012662152500,Referral,0,19,5,Chrome,desktop,0,Linux,4,2,0.2,referral
76255265047374200,Referral,0,21,1,Chrome,desktop,0,Macintosh,23,20,0,referral
76529729049367800,Referral,0,2,7,Chrome,desktop,0,Windows,2,2,0.285714286,referral
77222285299709100,Organic Search,0,5,4,Chrome,desktop,0,Macintosh,23,19.5,0.25,organic
77910788641080000,Direct,0,16.5,8,Firefox,desktop,0,Windows,5,4.5,0.25,(none)
79204932396995000,Organic Search,0,16.5,8,Chrome,desktop,0,Windows,12,9,0,organic
79363053947930400,Organic Search,0,2,1,Chrome,desktop,0,Macintosh,81,62,0,organic
79455793222269100,Referral,0,20,3,Chrome,desktop,0,Chrome OS,6,6,0.333333333,referral
79475762358903500,Direct,0,20,4,Chrome,desktop,0,Macintosh,17.5,15.5,0,(none)
79656074413776600,Referral,0.333333333,14,3,Chrome,desktop,0,Macintosh,25,21,0.333333333,referral
79827535407240700,Direct,0,17,9,Chrome,desktop,0,Macintosh,8,6,0,(none)
79867210646960600,Organic Search,0,18,2,Internet Explorer,desktop,0,Windows,13,9.5,0,organic
80317544461352900,Organic Search,0,1,2,Chrome,desktop,0,Chrome OS,11,10.5,0,organic
80479763428955000,Organic Search,0,18,3,Firefox,desktop,0,Macintosh,5,5,0,organic
80533986466271900,Display,0,17,18,Chrome,desktop,0,Macintosh,4,4,0.055555556,cpm
81281456829886900,Referral,0.666666667,21,6,Chrome,desktop,0,Linux,9,6.5,0,referral
81556422471965100,Referral,0,12.5,2,Chrome,desktop,0,Macintosh,26,19.5,0,referral
81840705529000200,Referral,0.142857143,18,7,Chrome,desktop,0,Macintosh,7,7,0,referral
81985686030532600,Direct,0,12,3,Chrome,desktop,0,Windows,114,89,0,(none)
82234340449923700,Organic Search,0,5,5,Chrome,desktop,0,Macintosh,7,5,0.2,organic
82422266360134500,Referral,0,22,2,Chrome,desktop,0,Macintosh,37.5,27.5,0,referral
82806901961150500,Referral,0,18,1,Chrome,desktop,0,Chrome OS,75,51,0,referral
83055806370747600,Referral,0,8,2,Chrome,desktop,0,Linux,13.5,11.5,0,referral
83964139069484100,Organic Search,0,23,1,Chrome,desktop,0,Macintosh,22,19,0,organic
84372863075461200,Direct,0,15,1,Chrome,desktop,0,Windows,16,15,0,(none)
84383590795093900,Referral,0,21,1,Chrome,desktop,0,Macintosh,26,21,0,referral
84741906853491200,Referral,0,19,5,Chrome,desktop,0,Macintosh,16,13,0.2,referral
84834161383601500,Referral,0,20.5,4,Chrome,desktop,0,Linux,18.5,15.5,0,referral
85057281729508800,Organic Search,0,19,14,Chrome,desktop,0,Macintosh,9,7.5,0,organic
85193654581094200,Direct,0,18,3,Chrome,desktop,0,Macintosh,10,7,0,(none)
85319952392271700,Referral,0,22,1,Chrome,desktop,0,Macintosh,48,36,0,referral
85830972238265700,Organic Search,0,16.5,6,Chrome,desktop,0,Windows,3,3,0,organic
85857472938612700,Referral,0,15.5,4,Chrome,desktop,0,Macintosh,6.5,6,0.5,referral
86102919761743400,Referral,0,23,5,Chrome,desktop,0,Windows,2,2,0.4,referral
86382053515995600,Organic Search,0,4,2,Chrome,desktop,0,Linux,70,52,0,organic
86439549065030100,Referral,0,17,1,Chrome,desktop,0,Macintosh,30,25,0,referral
87422696443112800,Referral,0.333333333,18,3,Chrome,desktop,0,Macintosh,9,9,0.333333333,referral
87919605807565300,Organic Search,0,3,1,Chrome,desktop,0,Macintosh,33,25,0,organic
88657980877164100,Referral,0,21,1,Chrome,desktop,0,Macintosh,14,14,0,referral
88808220383842200,Organic Search,0.5,12.5,2,Chrome,desktop,0,Windows,119,87,0,organic
88945266147609200,Referral,0,19.5,4,Chrome,desktop,0,Macintosh,22.5,17,0.25,referral
89261173995807300,Paid Search,0,18,5,Chrome,desktop,0,Macintosh,2,2,0.4,cpc
89893008278013400,Organic Search,0,22,1,Chrome,desktop,0,Windows,16,15,0,organic
90053188432158900,Direct,0,17,4,Chrome,desktop,0,Chrome OS,7,6,0,(none)
90327840318017800,Organic Search,0,14,1,Chrome,desktop,0,Windows,27,24,0,organic
91281264079346600,Organic Search,0,2,1,Chrome,mobile,1,Android,25,17,0,organic
91725120799498400,Referral,0,11.5,2,Chrome,desktop,0,Macintosh,17,12,0,referral
91784190289128500,Organic Search,0.333333333,7,3,Chrome,desktop,0,Macintosh,3,3,0,organic
91992348252102800,Referral,0,18,2,Chrome,desktop,0,Linux,45,33.5,0,referral
92577710025173600,Organic Search,0,21.5,4,Chrome,desktop,0,Chrome OS,40.5,32.5,0,cpc
92787485928461100,Referral,0,17,2,Chrome,desktop,0,Macintosh,11,8,0.5,referral
92836986022494100,Direct,0,16.5,4,Chrome,desktop,0,Macintosh,11,9.5,0.25,(none)
93310453484553700,Referral,0,18,1,Chrome,desktop,0,Macintosh,21,21,0,referral
94024465151480100,Organic Search,0.5,3.5,8,Chrome,desktop,0,Macintosh,12,10.5,0,organic
94073617799666100,Referral,0,20,1,Chrome,desktop,0,Linux,23,17,0,referral
94314192369270500,Referral,0.666666667,13,3,Chrome,desktop,0,Macintosh,3,3,0,referral
94901025743788700,Referral,0,9,2,Chrome,desktop,0,Linux,10.5,9.5,0,referral
95069773067468200,Organic Search,1,20,2,Chrome,desktop,0,Macintosh,17,15,0,organic
95747507496204200,Referral,0,11,5,Chrome,desktop,0,Chrome OS,3,3,0.4,referral
